dataset,condition,n_seeds,test_c_index_mean,test_c_index_std,test_td_auc_mean,test_td_auc_std,test_iauc_mean,test_iauc_std,test_ibs_mean,test_ibs_std
mimiceye_multimodal,supervised_100,4,0.6677480916030534,0.029296638523331933,0.5942215495584074,0.01419984519032916,0.6217936996749844,0.017734415096580393,0.12966513604134522,0.0037607879293993056
mimiceye_tabular,graphssl,10,0.6247595575859581,0.03284201865957434,0.6471380102056739,0.04664887108450515,0.587417662513327,0.021485422664775024,0.10115177140949194,0.003987885033312049
mimiceye_tabular,partial_label,10,0.6425853570569848,0.03368469671611879,0.6269709113923495,0.03582576910703769,0.5730621847058185,0.014047186225820704,0.10818427744385842,0.006224841322529875
mimiceye_tabular,supervised_100,4,0.6560846958403462,0.008764006944810892,0.6974951767794642,0.008075931079743068,0.5953969532336757,0.005509802760704,0.10479227121358345,0.0027844514644232102
mnb_risk1,partial_label,1,0.9082883531815795,0.0,0.9892999020079547,0.0,0.9920012310803065,0.0,0.04772751214483272,0.0
mnb_risk1,ssl_pseudolabel,4,0.9078093005857273,0.0013114446452249459,0.9833811767401933,0.007432173067692655,0.9897182498102463,0.0025345965137070253,0.04726862729653082,0.0013252517771244888
mnb_risk1,supervised_100,4,0.9152105201144706,0.0014357790471001696,0.9956739959732095,0.0011403784277735816,0.9950132010894979,0.0004609544422402077,0.04409779996032785,0.0033597042507659044
mnb_risk2,partial_label,1,0.9082883531815795,0.0,0.8782342557895713,0.0,0.8972873764993439,0.0,0.04772751214483272,0.0
mnb_risk2,ssl_pseudolabel,4,0.9078093005857273,0.0013114446452249459,0.8778668771896018,0.004894574696950186,0.8962773092992906,0.004366177129028727,0.04726862729653082,0.0013252517771244888
mnb_risk2,supervised_100,4,0.9152105201144706,0.0014357790471001696,0.8888131723498787,0.004556137813837395,0.9077313703879089,0.003436994323662802,0.04409779996032785,0.0033597042507659044
support2,graphssl,10,0.7661208351184994,0.0024986792961061346,0.8184535027214401,0.002242018106032564,0.828286679941057,0.002549823949124493,0.1696522884025011,0.0011198427255342126
support2,partial_label,10,0.7666139807088983,0.002527823989531464,0.8180034267448724,0.00332356783152341,0.8279527157282777,0.0029164187726888973,0.17493841364924514,0.002212895797137888
support2,supervised_100,4,0.7674124368176845,0.0023919388843201103,0.8207558582895548,0.002150321856475838,0.8299635364645793,0.00268666465391261,0.17231561594843278,0.0016922905716274135
synthetic_risk1,partial_label,1,0.6962162633074578,0.0,0.7294427159794943,0.0,0.7325074660417291,0.0,0.17203840369324025,0.0
synthetic_risk1,ssl_pseudolabel,4,0.7114761418776364,0.01125313848527653,0.7497799240431092,0.015504599998093295,0.7462307438273463,0.01180616902361583,0.16553632067715585,0.004520567516304336
synthetic_risk1,supervised_100,4,0.7472715389535457,0.0006010238395261857,0.7918471400745422,0.0023779784285003127,0.7920551949233031,0.001548078911775576,0.14730529685275162,0.0001873437117122339
synthetic_risk2,partial_label,1,0.6962162633074578,0.0,0.7485377136937297,0.0,0.7527496386562286,0.0,0.17203840369324025,0.0
synthetic_risk2,ssl_pseudolabel,4,0.7110536526278253,0.010731526793397096,0.756136221969828,0.010095476705291222,0.7606737077489603,0.0105720869526248,0.16507192892391598,0.004619577840560188
synthetic_risk2,supervised_100,4,0.7472715389535457,0.0006010238395261857,0.8085479602412854,0.0013670249274972035,0.8105294749079234,0.0021835314033517685,0.14730529685275162,0.0001873437117122339
