epoch,train_loss,val_loss,val_c_index,val_td_auc,val_td_auc_cases,val_td_auc_ctrls,val_iauc,val_ibs,val_horizon,val_event_of_interest
1,1.502246,2.440657,0.763814,0.582639,16,65,0.631376,0.137166,15.000000,1
2,1.484740,2.398570,0.758762,0.605541,16,65,0.647285,0.135257,15.000000,1
3,1.548676,2.361316,0.778971,0.638752,16,65,0.670322,0.134574,15.000000,1
4,1.372886,2.312096,0.777392,0.641673,16,65,0.678967,0.132607,15.000000,1
5,1.295007,2.299998,0.777708,0.659994,16,65,0.689646,0.133288,15.000000,1
6,1.318449,2.287097,0.776445,0.679414,16,65,0.708612,0.131649,15.000000,1
7,1.123102,2.282365,0.779286,0.674660,16,65,0.698114,0.134716,15.000000,1
8,1.244922,2.261753,0.776760,0.667502,16,65,0.696283,0.136013,15.000000,1
9,1.280009,2.279458,0.767603,0.665500,16,65,0.692226,0.138314,15.000000,1
10,1.159179,2.272047,0.761920,0.672372,16,65,0.709325,0.135348,15.000000,1
11,1.234838,2.276399,0.760657,0.662517,16,65,0.721408,0.132957,15.000000,1
12,1.061802,2.334951,0.752131,0.665803,16,65,0.718025,0.138944,15.000000,1
13,1.103043,2.382143,0.722766,0.656977,16,65,0.697409,0.142250,15.000000,1
14,0.998179,2.355083,0.721503,0.659457,16,65,0.712539,0.136462,15.000000,1
15,1.014911,2.364250,0.729397,0.642143,16,65,0.705068,0.139751,15.000000,1
16,1.039470,2.387444,0.732239,0.667389,16,65,0.709660,0.143639,15.000000,1
17,0.897656,2.403284,0.732239,0.665877,16,65,0.712185,0.145861,15.000000,1
