epoch,train_loss,val_loss,val_c_index,val_td_auc,val_td_auc_cases,val_td_auc_ctrls,val_iauc,val_ibs,val_horizon,val_event_of_interest
1,3.585165,4.047049,0.570191,0.585538,38,211,0.615860,0.109214,15.000000,1
2,3.562816,4.039992,0.582530,0.675386,38,211,0.624400,0.108833,15.000000,1
3,3.649597,4.017573,0.600029,0.695557,38,211,0.652088,0.107716,15.000000,1
4,3.538109,3.989241,0.631875,0.667215,38,211,0.660494,0.106004,15.000000,1
5,3.430258,3.998810,0.621040,0.669929,38,211,0.653601,0.106519,15.000000,1
6,3.291218,3.998865,0.629383,0.616177,38,211,0.650632,0.105998,15.000000,1
7,3.479270,4.052010,0.584144,0.621643,38,211,0.641035,0.107318,15.000000,1
8,3.392774,4.009441,0.608064,0.598489,38,211,0.639593,0.107514,15.000000,1
9,3.262054,4.045444,0.605759,0.611834,38,211,0.632086,0.109213,15.000000,1
10,3.346062,4.104140,0.588228,0.621752,38,211,0.628797,0.110696,15.000000,1
11,3.254216,4.098682,0.588151,0.617516,38,211,0.619069,0.112985,15.000000,1
12,3.314236,4.087581,0.611731,0.612470,38,211,0.633114,0.111790,15.000000,1
13,3.290375,4.091389,0.602707,0.606545,38,211,0.619396,0.113323,15.000000,1
14,3.250560,4.161910,0.589721,0.605146,38,211,0.611290,0.116689,15.000000,1
15,3.312747,4.158882,0.571333,0.612307,38,211,0.616107,0.117100,15.000000,1
16,3.254668,4.183896,0.586998,0.620213,38,211,0.627726,0.117398,15.000000,1
17,3.113556,4.207269,0.571278,0.572164,38,211,0.600009,0.116587,15.000000,1
18,3.164496,4.207616,0.578776,0.600331,38,211,0.611393,0.117615,15.000000,1
19,3.159267,4.196240,0.574077,0.581976,38,211,0.601261,0.118564,15.000000,1
20,3.182993,4.182984,0.577557,0.616921,38,211,0.605747,0.120067,15.000000,1
21,3.160716,4.252291,0.565537,0.582757,38,211,0.599225,0.119853,15.000000,1
22,3.033932,4.262039,0.561541,0.587518,38,211,0.601615,0.120453,15.000000,1
23,3.299866,4.252963,0.555953,0.540578,38,211,0.588365,0.119110,15.000000,1
24,3.065798,4.283229,0.570246,0.588443,38,211,0.598006,0.122710,15.000000,1
