epoch,train_loss,val_loss,val_c_index,val_td_auc,val_td_auc_cases,val_td_auc_ctrls,val_iauc,val_ibs,val_horizon,val_event_of_interest
1,3.642350,4.059727,0.532812,0.649044,38,211,0.569215,0.110400,15.000000,1
2,3.707851,4.052080,0.562759,0.644850,38,211,0.583139,0.109672,15.000000,1
3,3.472281,4.053501,0.582058,0.636531,38,211,0.615946,0.108704,15.000000,1
4,3.544593,4.039669,0.606549,0.643248,38,211,0.630565,0.107622,15.000000,1
5,3.567030,3.999317,0.642523,0.652289,38,211,0.631998,0.106498,15.000000,1
6,3.501301,4.061317,0.617911,0.644867,38,211,0.631082,0.107650,15.000000,1
7,3.104552,4.055003,0.627769,0.648810,38,211,0.627098,0.107927,15.000000,1
8,3.439788,4.070338,0.640723,0.638897,38,211,0.626975,0.108187,15.000000,1
9,3.492384,4.108262,0.626111,0.634926,38,211,0.607586,0.109789,15.000000,1
10,3.401249,4.152590,0.622632,0.618778,38,211,0.596936,0.110614,15.000000,1
11,3.358260,4.160817,0.620853,0.624628,38,211,0.587806,0.111934,15.000000,1
12,3.328151,4.209049,0.628834,0.631933,38,211,0.597516,0.112939,15.000000,1
13,3.365584,4.152669,0.620140,0.623774,38,211,0.580463,0.112413,15.000000,1
14,3.256475,4.255621,0.609063,0.629403,38,211,0.587368,0.114129,15.000000,1
15,3.208120,4.257264,0.620568,0.627964,38,211,0.592989,0.115525,15.000000,1
16,3.111083,4.260843,0.610918,0.615831,38,211,0.570737,0.116695,15.000000,1
17,3.164896,4.224126,0.645729,0.642015,38,211,0.592373,0.115853,15.000000,1
18,3.146068,4.276431,0.621512,0.633897,38,211,0.578731,0.117795,15.000000,1
19,3.132946,4.294761,0.629130,0.635039,38,211,0.583711,0.118673,15.000000,1
20,3.153753,4.246082,0.627308,0.630671,38,211,0.573708,0.118567,15.000000,1
21,3.237355,4.329997,0.607845,0.620985,38,211,0.552827,0.122896,15.000000,1
22,3.155763,4.380854,0.620875,0.638223,38,211,0.586044,0.120142,15.000000,1
23,3.067699,4.389310,0.629196,0.648101,38,211,0.582440,0.122905,15.000000,1
24,2.991311,4.468576,0.636639,0.629047,38,211,0.597284,0.124238,15.000000,1
25,2.936845,4.396044,0.636914,0.634098,38,211,0.575551,0.124520,15.000000,1
26,3.119478,4.405072,0.639318,0.634532,38,211,0.587191,0.123259,15.000000,1
27,3.039600,4.376276,0.626441,0.637771,38,211,0.575570,0.124681,15.000000,1
28,3.072115,4.438109,0.631293,0.632279,38,211,0.584684,0.124302,15.000000,1
29,2.890616,4.492784,0.630525,0.629849,38,211,0.582517,0.125453,15.000000,1
30,3.031746,4.551616,0.621753,0.609874,38,211,0.570493,0.128212,15.000000,1
31,2.968310,4.526447,0.623082,0.637026,38,211,0.590939,0.126509,15.000000,1
32,2.871079,4.572992,0.619964,0.638016,38,211,0.583448,0.126584,15.000000,1
33,2.866258,4.687847,0.621018,0.615894,38,211,0.572453,0.128694,15.000000,1
34,2.916521,4.686916,0.626990,0.620848,38,211,0.591420,0.127483,15.000000,1
35,2.945418,4.627060,0.617681,0.615504,38,211,0.561693,0.129875,15.000000,1
36,2.840585,4.714156,0.621193,0.616335,38,211,0.574070,0.129890,15.000000,1
37,2.968143,4.652561,0.628603,0.630170,38,211,0.582107,0.129773,15.000000,1
38,2.988075,4.776825,0.635519,0.631445,38,211,0.599799,0.127492,15.000000,1
39,2.902846,4.738681,0.633258,0.617518,38,211,0.575609,0.130897,15.000000,1
40,2.805337,4.719884,0.622895,0.638010,38,211,0.597680,0.127849,15.000000,1
41,2.835178,4.745383,0.617011,0.637942,38,211,0.589676,0.126694,15.000000,1
42,2.667098,4.830429,0.607867,0.623353,38,211,0.575919,0.130428,15.000000,1
43,2.857292,4.858860,0.611851,0.637039,38,211,0.584888,0.128561,15.000000,1
44,2.837495,4.846247,0.616923,0.623709,38,211,0.569695,0.131257,15.000000,1
45,2.878243,4.731731,0.610150,0.620614,38,211,0.572164,0.129402,15.000000,1
46,2.824630,4.919101,0.611819,0.622441,38,211,0.573541,0.132182,15.000000,1
47,2.559407,4.988115,0.595056,0.622205,38,211,0.572841,0.131908,15.000000,1
