epoch,train_loss,val_loss,val_c_index,val_td_auc,val_td_auc_cases,val_td_auc_ctrls,val_iauc,val_ibs,val_horizon,val_event_of_interest
1,4.292635,4.711334,0.581257,0.669825,38,211,0.618694,0.109374,15.000000,1
2,4.175395,4.692759,0.592893,0.678430,38,211,0.645641,0.108045,15.000000,1
3,4.162941,4.693504,0.600698,0.671580,38,211,0.642552,0.107546,15.000000,1
4,4.149141,4.706685,0.605441,0.665522,38,211,0.637710,0.108240,15.000000,1
5,4.088089,4.700491,0.624651,0.666947,38,211,0.651526,0.107580,15.000000,1
6,4.033373,4.705494,0.631502,0.669463,38,211,0.651583,0.107908,15.000000,1
7,4.038901,4.733145,0.623982,0.644347,38,211,0.640629,0.109164,15.000000,1
8,4.004928,4.727122,0.640284,0.643594,38,211,0.644360,0.110147,15.000000,1
9,4.020042,4.742837,0.634400,0.645209,38,211,0.634863,0.111076,15.000000,1
10,4.003443,4.751189,0.629054,0.627960,38,211,0.625372,0.111472,15.000000,1
11,4.041859,4.819227,0.605023,0.609763,38,211,0.618861,0.112553,15.000000,1
12,3.997541,4.784595,0.630557,0.606502,38,211,0.627370,0.113630,15.000000,1
13,3.969028,4.826454,0.617318,0.605612,38,211,0.617964,0.114541,15.000000,1
14,4.020515,4.860457,0.602784,0.633182,38,211,0.627161,0.113451,15.000000,1
15,3.918816,4.805934,0.618295,0.575408,38,211,0.596562,0.113828,15.000000,1
16,3.969673,4.854590,0.600918,0.605059,38,211,0.603124,0.114208,15.000000,1
17,3.911975,4.839288,0.581850,0.574925,38,211,0.583365,0.115551,15.000000,1
18,3.876818,4.925050,0.602389,0.606384,38,211,0.594216,0.119041,15.000000,1
19,3.905057,4.920581,0.602499,0.586405,38,211,0.591857,0.117598,15.000000,1
20,3.837809,4.950429,0.598327,0.585000,38,211,0.592506,0.119056,15.000000,1
21,3.912706,4.960736,0.603179,0.594376,38,211,0.585754,0.121522,15.000000,1
22,3.890399,4.999123,0.579072,0.546712,38,211,0.563358,0.123226,15.000000,1
23,3.767334,5.027425,0.599238,0.585155,38,211,0.594430,0.122024,15.000000,1
24,3.879365,4.971211,0.609766,0.572344,38,211,0.585496,0.121890,15.000000,1
25,3.808695,5.013393,0.594134,0.570536,38,211,0.575238,0.121733,15.000000,1
26,3.824845,5.025969,0.587470,0.562414,38,211,0.573406,0.122444,15.000000,1
27,3.746414,5.045786,0.586778,0.557877,38,211,0.559401,0.125982,15.000000,1
28,3.767085,5.064222,0.576251,0.558364,38,211,0.571048,0.122610,15.000000,1
29,3.733333,5.126284,0.593255,0.576419,38,211,0.570990,0.126794,15.000000,1
30,3.805865,5.136072,0.593716,0.580258,38,211,0.584663,0.123925,15.000000,1
31,3.745144,5.094961,0.589677,0.536912,38,211,0.564319,0.123383,15.000000,1
32,3.752019,5.109369,0.593211,0.584142,38,211,0.576362,0.124009,15.000000,1
33,3.742233,5.188179,0.584605,0.577191,38,211,0.575337,0.126123,15.000000,1
34,3.755355,5.186594,0.605364,0.572611,38,211,0.586809,0.125189,15.000000,1
35,3.692563,5.177419,0.601873,0.576092,38,211,0.565873,0.129879,15.000000,1
36,3.668562,5.205993,0.592674,0.566044,38,211,0.569038,0.127534,15.000000,1
37,3.662195,5.230505,0.581948,0.550057,38,211,0.551599,0.129801,15.000000,1
38,3.744037,5.219039,0.591290,0.556793,38,211,0.559585,0.126809,15.000000,1
