epoch,train_loss,val_loss,val_c_index,val_td_auc,val_td_auc_cases,val_td_auc_ctrls,val_iauc,val_ibs,val_horizon,val_event_of_interest
1,5.007018,4.619913,0.889844,0.962992,40,153817,0.978544,0.049314,180.000000,1
2,4.736093,4.522093,0.896797,0.965975,40,153817,0.981268,0.048289,180.000000,1
3,4.654417,4.483660,0.900228,0.974901,40,153817,0.985745,0.043408,180.000000,1
4,4.608398,4.461670,0.900603,0.962589,40,153817,0.981936,0.047797,180.000000,1
5,4.564944,4.444986,0.903346,0.959454,40,153817,0.980501,0.050812,180.000000,1
6,4.537995,4.447972,0.902185,0.964837,40,153817,0.981725,0.056156,180.000000,1
7,4.507810,4.423657,0.908032,0.968759,40,153817,0.984549,0.049396,180.000000,1
8,4.491216,4.429796,0.904885,0.970451,40,153817,0.984994,0.052815,180.000000,1
9,4.467581,4.420628,0.904927,0.968350,40,153817,0.983403,0.047629,180.000000,1
10,4.447850,4.419656,0.909095,0.970513,40,153817,0.984811,0.046582,180.000000,1
11,4.428644,4.437290,0.907004,0.965108,40,153817,0.982561,0.046408,180.000000,1
12,4.407844,4.425355,0.908977,0.968654,40,153817,0.984040,0.043608,180.000000,1
13,4.388139,4.421947,0.910536,0.970693,40,153817,0.984718,0.045741,180.000000,1
14,4.366870,4.442095,0.908493,0.968900,40,153817,0.983529,0.046421,180.000000,1
15,4.356668,4.426672,0.906596,0.968365,40,153817,0.983782,0.050468,180.000000,1
16,4.347930,4.446384,0.912155,0.962420,40,153817,0.982060,0.040327,180.000000,1
17,4.326626,4.437604,0.911481,0.967991,40,153817,0.982824,0.044062,180.000000,1
18,4.308204,4.452930,0.910841,0.957870,40,153817,0.979346,0.041282,180.000000,1
19,4.291905,4.452594,0.910293,0.963415,40,153817,0.981723,0.051941,180.000000,1
20,4.276730,4.449363,0.910074,0.964707,40,153817,0.982355,0.043760,180.000000,1
21,4.267440,4.452554,0.907510,0.965254,40,153817,0.982959,0.052774,180.000000,1
22,4.246332,4.451848,0.910334,0.965874,40,153817,0.983039,0.049899,180.000000,1
23,4.244911,4.457801,0.911254,0.965941,40,153817,0.982923,0.049673,180.000000,1
24,4.224514,4.469306,0.907371,0.967425,40,153817,0.983181,0.051471,180.000000,1
25,4.214332,4.459236,0.911130,0.960336,40,153817,0.980601,0.046692,180.000000,1
26,4.209863,4.489419,0.907680,0.963352,40,153817,0.981624,0.045552,180.000000,1
27,4.198151,4.489552,0.910586,0.963017,40,153817,0.981576,0.048097,180.000000,1
28,4.180134,4.490882,0.910302,0.963556,40,153817,0.981729,0.045203,180.000000,1
29,4.159710,4.497099,0.911657,0.963015,40,153817,0.981585,0.046748,180.000000,1
30,4.152994,4.507920,0.905376,0.963447,40,153817,0.981845,0.050066,180.000000,1
31,4.129437,4.518543,0.911203,0.961316,40,153817,0.981392,0.044393,180.000000,1
32,4.134349,4.519728,0.907776,0.963934,40,153817,0.982073,0.046020,180.000000,1
33,4.129764,4.528953,0.910256,0.966138,40,153817,0.982823,0.046026,180.000000,1
34,4.109520,4.532560,0.910542,0.963309,40,153817,0.982099,0.043559,180.000000,1
35,4.105318,4.544403,0.908460,0.964312,40,153817,0.982124,0.049540,180.000000,1
36,4.084138,4.547426,0.908881,0.966135,40,153817,0.982355,0.048324,180.000000,1
