epoch,train_loss,val_loss,val_c_index,val_td_auc,val_td_auc_cases,val_td_auc_ctrls,val_iauc,val_ibs,val_horizon,val_event_of_interest
1,5.020327,4.635871,0.881371,0.963474,40,153817,0.978153,0.070199,180.000000,1
2,4.745185,4.535871,0.896894,0.967291,40,153817,0.980768,0.053981,180.000000,1
3,4.666062,4.494961,0.899102,0.966880,40,153817,0.982498,0.051715,180.000000,1
4,4.616740,4.484529,0.904852,0.966626,40,153817,0.982038,0.037697,180.000000,1
5,4.582170,4.449036,0.902385,0.966082,40,153817,0.982938,0.044877,180.000000,1
6,4.552955,4.450667,0.905545,0.966046,40,153817,0.982231,0.043359,180.000000,1
7,4.529460,4.433992,0.905994,0.972568,40,153817,0.984745,0.050173,180.000000,1
8,4.503233,4.425334,0.905298,0.965082,40,153817,0.981909,0.049583,180.000000,1
9,4.478072,4.420571,0.907943,0.970894,40,153817,0.984137,0.047693,180.000000,1
10,4.459330,4.419564,0.908301,0.962875,40,153817,0.981374,0.044804,180.000000,1
11,4.457007,4.439321,0.910235,0.968669,40,153817,0.983359,0.040508,180.000000,1
12,4.427557,4.420609,0.906522,0.975489,40,153817,0.985905,0.050362,180.000000,1
13,4.414701,4.428671,0.907893,0.963225,40,153817,0.981612,0.048440,180.000000,1
14,4.396561,4.439842,0.908097,0.966336,40,153817,0.983304,0.049623,180.000000,1
15,4.375356,4.432936,0.909112,0.965892,40,153817,0.982684,0.043242,180.000000,1
16,4.345257,4.449706,0.909216,0.960850,40,153817,0.980468,0.044796,180.000000,1
17,4.342035,4.432664,0.907075,0.969659,40,153817,0.983922,0.050129,180.000000,1
18,4.323108,4.444256,0.908678,0.962211,40,153817,0.981419,0.050803,180.000000,1
19,4.299303,4.460288,0.906646,0.961027,40,153817,0.981054,0.046417,180.000000,1
20,4.289445,4.447883,0.908842,0.958221,40,153817,0.979776,0.043725,180.000000,1
21,4.267000,4.461754,0.910157,0.955869,40,153817,0.978719,0.045808,180.000000,1
22,4.258851,4.478558,0.909779,0.957142,40,153817,0.978975,0.046330,180.000000,1
23,4.242573,4.459326,0.910775,0.957082,40,153817,0.979172,0.045443,180.000000,1
24,4.235038,4.476278,0.909245,0.956034,40,153817,0.978571,0.044545,180.000000,1
25,4.223078,4.472292,0.909905,0.957261,40,153817,0.979401,0.045929,180.000000,1
26,4.206831,4.483058,0.911744,0.954886,40,153817,0.978750,0.042395,180.000000,1
27,4.198905,4.483541,0.908043,0.957062,40,153817,0.979401,0.048939,180.000000,1
28,4.188009,4.495781,0.909213,0.954268,40,153817,0.978144,0.047205,180.000000,1
29,4.169522,4.500322,0.908311,0.956395,40,153817,0.978997,0.043265,180.000000,1
30,4.164170,4.512399,0.908761,0.956687,40,153817,0.979375,0.047118,180.000000,1
31,4.153534,4.514565,0.908755,0.956162,40,153817,0.979075,0.042799,180.000000,1
32,4.131703,4.517000,0.910132,0.957604,40,153817,0.979533,0.043746,180.000000,1
33,4.140290,4.496620,0.910479,0.947761,40,153817,0.976091,0.045394,180.000000,1
34,4.119313,4.515004,0.910363,0.954667,40,153817,0.978212,0.043723,180.000000,1
35,4.107916,4.517108,0.910568,0.956935,40,153817,0.979363,0.045421,180.000000,1
36,4.100053,4.521640,0.907704,0.956265,40,153817,0.979189,0.049940,180.000000,1
37,4.090298,4.537536,0.908266,0.955876,40,153817,0.978962,0.046298,180.000000,1
38,4.081720,4.547141,0.910427,0.955316,40,153817,0.978821,0.042647,180.000000,1
39,4.088202,4.540077,0.909376,0.954232,40,153817,0.978269,0.045543,180.000000,1
40,4.067434,4.551764,0.907602,0.951950,40,153817,0.976927,0.048382,180.000000,1
41,4.053374,4.546434,0.908171,0.948232,40,153817,0.976418,0.049228,180.000000,1
42,4.050753,4.572066,0.910869,0.953105,40,153817,0.977742,0.041576,180.000000,1
43,4.043675,4.561200,0.909986,0.953298,40,153817,0.977937,0.046437,180.000000,1
44,4.017766,4.590237,0.911104,0.950807,40,153817,0.976938,0.040724,180.000000,1
45,4.028826,4.584180,0.908500,0.954359,40,153817,0.977843,0.044683,180.000000,1
46,4.017459,4.597744,0.908244,0.950581,40,153817,0.976517,0.047592,180.000000,1
