epoch,train_loss,val_loss,val_c_index,val_td_auc,val_td_auc_cases,val_td_auc_ctrls,val_iauc,val_ibs,val_horizon,val_event_of_interest
1,4.914219,4.560037,0.895018,0.972607,40,153817,0.983682,0.061009,180.000000,1
2,4.682536,4.474741,0.901042,0.979921,40,153817,0.987942,0.052491,180.000000,1
3,4.617610,4.435603,0.905282,0.985629,40,153817,0.989627,0.048462,180.000000,1
4,4.565473,4.420431,0.905277,0.971525,40,153817,0.984892,0.045565,180.000000,1
5,4.542660,4.404844,0.902014,0.973023,40,153817,0.985567,0.046685,180.000000,1
6,4.513769,4.387027,0.910033,0.971967,40,153817,0.985446,0.047654,180.000000,1
7,4.493775,4.396885,0.905635,0.969118,40,153817,0.984898,0.057027,180.000000,1
8,4.474048,4.366467,0.907246,0.967283,40,153817,0.984424,0.049870,180.000000,1
9,4.459984,4.358527,0.912787,0.962430,40,153817,0.983082,0.044674,180.000000,1
10,4.443801,4.366345,0.912307,0.970801,40,153817,0.985562,0.041908,180.000000,1
11,4.425465,4.365979,0.912390,0.967743,40,153817,0.984917,0.052052,180.000000,1
12,4.412432,4.366545,0.912691,0.968844,40,153817,0.984765,0.045017,180.000000,1
13,4.402867,4.362132,0.915369,0.967726,40,153817,0.984828,0.047711,180.000000,1
14,4.385600,4.356254,0.912827,0.961927,40,153817,0.982372,0.048239,180.000000,1
15,4.377621,4.360832,0.914253,0.961686,40,153817,0.982394,0.045560,180.000000,1
16,4.362677,4.363628,0.914894,0.964121,40,153817,0.983456,0.041573,180.000000,1
17,4.360750,4.355775,0.914797,0.960537,40,153817,0.981672,0.045655,180.000000,1
18,4.345836,4.362375,0.914300,0.960919,40,153817,0.981857,0.043545,180.000000,1
19,4.332044,4.381190,0.915659,0.960987,40,153817,0.981532,0.042568,180.000000,1
20,4.332075,4.377939,0.913819,0.962287,40,153817,0.982065,0.047456,180.000000,1
21,4.320368,4.384045,0.913470,0.961101,40,153817,0.982084,0.045492,180.000000,1
22,4.308431,4.383314,0.913883,0.964590,40,153817,0.982537,0.042828,180.000000,1
23,4.303140,4.380335,0.914282,0.960672,40,153817,0.981763,0.045282,180.000000,1
24,4.294866,4.375974,0.912956,0.960378,40,153817,0.981373,0.044260,180.000000,1
25,4.288757,4.374310,0.914616,0.958592,40,153817,0.981189,0.045984,180.000000,1
26,4.278728,4.379711,0.914937,0.963100,40,153817,0.981769,0.043542,180.000000,1
27,4.267506,4.382197,0.916070,0.960809,40,153817,0.981668,0.044049,180.000000,1
28,4.259388,4.393226,0.915072,0.960230,40,153817,0.980794,0.042709,180.000000,1
