epoch,train_loss,val_loss,val_c_index,val_td_auc,val_td_auc_cases,val_td_auc_ctrls,val_iauc,val_ibs,val_horizon,val_event_of_interest
1,5.007018,4.619913,0.889844,0.861740,1892,153817,0.879964,0.049314,180.000000,2
2,4.736093,4.522093,0.896797,0.874709,1892,153817,0.891713,0.048289,180.000000,2
3,4.654417,4.483660,0.900228,0.876775,1892,153817,0.893241,0.043408,180.000000,2
4,4.608398,4.461670,0.900603,0.883404,1892,153817,0.898071,0.047797,180.000000,2
5,4.564944,4.444986,0.903346,0.880829,1892,153817,0.894956,0.050812,180.000000,2
6,4.537995,4.447972,0.902185,0.872383,1892,153817,0.890762,0.056156,180.000000,2
7,4.507810,4.423657,0.908032,0.888023,1892,153817,0.899483,0.049396,180.000000,2
8,4.491216,4.429796,0.904885,0.883835,1892,153817,0.899081,0.052815,180.000000,2
9,4.467581,4.420628,0.904927,0.889592,1892,153817,0.903522,0.047629,180.000000,2
10,4.447850,4.419656,0.909095,0.889167,1892,153817,0.903207,0.046582,180.000000,2
11,4.428644,4.437290,0.907004,0.880735,1892,153817,0.897999,0.046408,180.000000,2
12,4.407844,4.425355,0.908977,0.892603,1892,153817,0.906388,0.043608,180.000000,2
13,4.388139,4.421947,0.910536,0.889788,1892,153817,0.904409,0.045741,180.000000,2
14,4.366870,4.442095,0.908493,0.885588,1892,153817,0.901239,0.046421,180.000000,2
15,4.356668,4.426672,0.906596,0.881454,1892,153817,0.899629,0.050468,180.000000,2
16,4.347930,4.446384,0.912155,0.895253,1892,153817,0.907549,0.040327,180.000000,2
17,4.326626,4.437604,0.911481,0.891892,1892,153817,0.906411,0.044062,180.000000,2
18,4.308204,4.452930,0.910841,0.891688,1892,153817,0.905681,0.041282,180.000000,2
19,4.291905,4.452594,0.910293,0.888190,1892,153817,0.903681,0.051941,180.000000,2
20,4.276730,4.449363,0.910074,0.893852,1892,153817,0.908127,0.043760,180.000000,2
21,4.267440,4.452554,0.907510,0.881824,1892,153817,0.901359,0.052774,180.000000,2
22,4.246332,4.451848,0.910334,0.893015,1892,153817,0.907061,0.049899,180.000000,2
23,4.244911,4.457801,0.911254,0.889534,1892,153817,0.904057,0.049673,180.000000,2
24,4.224514,4.469306,0.907371,0.878933,1892,153817,0.897338,0.051471,180.000000,2
25,4.214332,4.459236,0.911130,0.883974,1892,153817,0.900608,0.046692,180.000000,2
26,4.209863,4.489419,0.907680,0.885476,1892,153817,0.900617,0.045552,180.000000,2
27,4.198151,4.489552,0.910586,0.881841,1892,153817,0.899497,0.048097,180.000000,2
28,4.180134,4.490882,0.910302,0.882296,1892,153817,0.899458,0.045203,180.000000,2
29,4.159710,4.497099,0.911657,0.888507,1892,153817,0.904357,0.046748,180.000000,2
30,4.152994,4.507920,0.905376,0.882653,1892,153817,0.897130,0.050066,180.000000,2
31,4.129437,4.518543,0.911203,0.891575,1892,153817,0.905374,0.044393,180.000000,2
32,4.134349,4.519728,0.907776,0.881333,1892,153817,0.898098,0.046020,180.000000,2
33,4.129764,4.528953,0.910256,0.890090,1892,153817,0.904853,0.046026,180.000000,2
34,4.109520,4.532560,0.910542,0.884829,1892,153817,0.902156,0.043559,180.000000,2
35,4.105318,4.544403,0.908460,0.881707,1892,153817,0.898584,0.049540,180.000000,2
36,4.084138,4.547426,0.908881,0.885267,1892,153817,0.900930,0.048324,180.000000,2
