epoch,train_loss,val_loss,val_c_index,val_td_auc,val_td_auc_cases,val_td_auc_ctrls,val_iauc,val_ibs,val_horizon,val_event_of_interest
1,5.020327,4.635871,0.881371,0.846253,1892,153817,0.870974,0.070199,180.000000,2
2,4.745185,4.535871,0.896894,0.878850,1892,153817,0.894518,0.053981,180.000000,2
3,4.666062,4.494961,0.899102,0.877868,1892,153817,0.891333,0.051715,180.000000,2
4,4.616740,4.484529,0.904852,0.890498,1892,153817,0.902989,0.037697,180.000000,2
5,4.582170,4.449036,0.902385,0.882614,1892,153817,0.897257,0.044877,180.000000,2
6,4.552955,4.450667,0.905545,0.885640,1892,153817,0.900326,0.043359,180.000000,2
7,4.529460,4.433992,0.905994,0.881610,1892,153817,0.895817,0.050173,180.000000,2
8,4.503233,4.425334,0.905298,0.885400,1892,153817,0.900639,0.049583,180.000000,2
9,4.478072,4.420571,0.907943,0.892145,1892,153817,0.903177,0.047693,180.000000,2
10,4.459330,4.419564,0.908301,0.891044,1892,153817,0.903921,0.044804,180.000000,2
11,4.457007,4.439321,0.910235,0.894287,1892,153817,0.907224,0.040508,180.000000,2
12,4.427557,4.420609,0.906522,0.896796,1892,153817,0.908383,0.050362,180.000000,2
13,4.414701,4.428671,0.907893,0.883287,1892,153817,0.899956,0.048440,180.000000,2
14,4.396561,4.439842,0.908097,0.882544,1892,153817,0.899322,0.049623,180.000000,2
15,4.375356,4.432936,0.909112,0.889562,1892,153817,0.904597,0.043242,180.000000,2
16,4.345257,4.449706,0.909216,0.889469,1892,153817,0.904371,0.044796,180.000000,2
17,4.342035,4.432664,0.907075,0.886447,1892,153817,0.900753,0.050129,180.000000,2
18,4.323108,4.444256,0.908678,0.878770,1892,153817,0.896431,0.050803,180.000000,2
19,4.299303,4.460288,0.906646,0.894530,1892,153817,0.906785,0.046417,180.000000,2
20,4.289445,4.447883,0.908842,0.887962,1892,153817,0.903609,0.043725,180.000000,2
21,4.267000,4.461754,0.910157,0.881904,1892,153817,0.899444,0.045808,180.000000,2
22,4.258851,4.478558,0.909779,0.891012,1892,153817,0.904423,0.046330,180.000000,2
23,4.242573,4.459326,0.910775,0.890320,1892,153817,0.906351,0.045443,180.000000,2
24,4.235038,4.476278,0.909245,0.885671,1892,153817,0.901129,0.044545,180.000000,2
25,4.223078,4.472292,0.909905,0.886513,1892,153817,0.902547,0.045929,180.000000,2
26,4.206831,4.483058,0.911744,0.894375,1892,153817,0.907116,0.042395,180.000000,2
27,4.198905,4.483541,0.908043,0.880378,1892,153817,0.897816,0.048939,180.000000,2
28,4.188009,4.495781,0.909213,0.885371,1892,153817,0.901662,0.047205,180.000000,2
29,4.169522,4.500322,0.908311,0.886004,1892,153817,0.901778,0.043265,180.000000,2
30,4.164170,4.512399,0.908761,0.885798,1892,153817,0.902635,0.047118,180.000000,2
31,4.153534,4.514565,0.908755,0.884790,1892,153817,0.901143,0.042799,180.000000,2
32,4.131703,4.517000,0.910132,0.890847,1892,153817,0.905172,0.043746,180.000000,2
33,4.140290,4.496620,0.910479,0.887628,1892,153817,0.902698,0.045394,180.000000,2
34,4.119313,4.515004,0.910363,0.889454,1892,153817,0.903778,0.043723,180.000000,2
35,4.107916,4.517108,0.910568,0.885847,1892,153817,0.902163,0.045421,180.000000,2
36,4.100053,4.521640,0.907704,0.881803,1892,153817,0.897611,0.049940,180.000000,2
37,4.090298,4.537536,0.908266,0.882835,1892,153817,0.899713,0.046298,180.000000,2
38,4.081720,4.547141,0.910427,0.888178,1892,153817,0.903826,0.042647,180.000000,2
39,4.088202,4.540077,0.909376,0.886774,1892,153817,0.901728,0.045543,180.000000,2
40,4.067434,4.551764,0.907602,0.887366,1892,153817,0.901272,0.048382,180.000000,2
41,4.053374,4.546434,0.908171,0.883917,1892,153817,0.900568,0.049228,180.000000,2
42,4.050753,4.572066,0.910869,0.890610,1892,153817,0.904562,0.041576,180.000000,2
43,4.043675,4.561200,0.909986,0.885053,1892,153817,0.899824,0.046437,180.000000,2
44,4.017766,4.590237,0.911104,0.889200,1892,153817,0.903801,0.040724,180.000000,2
45,4.028826,4.584180,0.908500,0.884675,1892,153817,0.901695,0.044683,180.000000,2
46,4.017459,4.597744,0.908244,0.882861,1892,153817,0.900606,0.047592,180.000000,2
