epoch,train_loss,val_loss,val_c_index,val_td_auc,val_td_auc_cases,val_td_auc_ctrls,val_iauc,val_ibs,val_horizon,val_event_of_interest
1,4.914219,4.560037,0.895018,0.877767,1892,153817,0.892447,0.061009,180.000000,2
2,4.682536,4.474741,0.901042,0.878063,1892,153817,0.892205,0.052491,180.000000,2
3,4.617610,4.435603,0.905282,0.887843,1892,153817,0.900636,0.048462,180.000000,2
4,4.565473,4.420431,0.905277,0.883233,1892,153817,0.900391,0.045565,180.000000,2
5,4.542660,4.404844,0.902014,0.881641,1892,153817,0.897423,0.046685,180.000000,2
6,4.513769,4.387027,0.910033,0.891027,1892,153817,0.905767,0.047654,180.000000,2
7,4.493775,4.396885,0.905635,0.870458,1892,153817,0.892134,0.057027,180.000000,2
8,4.474048,4.366467,0.907246,0.893210,1892,153817,0.905197,0.049870,180.000000,2
9,4.459984,4.358527,0.912787,0.897549,1892,153817,0.909608,0.044674,180.000000,2
10,4.443801,4.366345,0.912307,0.896835,1892,153817,0.909194,0.041908,180.000000,2
11,4.425465,4.365979,0.912390,0.876927,1892,153817,0.897168,0.052052,180.000000,2
12,4.412432,4.366545,0.912691,0.891336,1892,153817,0.906204,0.045017,180.000000,2
13,4.402867,4.362132,0.915369,0.896579,1892,153817,0.911784,0.047711,180.000000,2
14,4.385600,4.356254,0.912827,0.893073,1892,153817,0.908614,0.048239,180.000000,2
15,4.377621,4.360832,0.914253,0.896646,1892,153817,0.912287,0.045560,180.000000,2
16,4.362677,4.363628,0.914894,0.897457,1892,153817,0.911554,0.041573,180.000000,2
17,4.360750,4.355775,0.914797,0.897009,1892,153817,0.912226,0.045655,180.000000,2
18,4.345836,4.362375,0.914300,0.896628,1892,153817,0.911829,0.043545,180.000000,2
19,4.332044,4.381190,0.915659,0.898340,1892,153817,0.912677,0.042568,180.000000,2
20,4.332075,4.377939,0.913819,0.890020,1892,153817,0.906215,0.047456,180.000000,2
21,4.320368,4.384045,0.913470,0.889410,1892,153817,0.906666,0.045492,180.000000,2
22,4.308431,4.383314,0.913883,0.896797,1892,153817,0.910667,0.042828,180.000000,2
23,4.303140,4.380335,0.914282,0.894491,1892,153817,0.910018,0.045282,180.000000,2
24,4.294866,4.375974,0.912956,0.891047,1892,153817,0.906856,0.044260,180.000000,2
25,4.288757,4.374310,0.914616,0.893634,1892,153817,0.909722,0.045984,180.000000,2
26,4.278728,4.379711,0.914937,0.896177,1892,153817,0.910999,0.043542,180.000000,2
