epoch,train_loss,val_loss,val_c_index,val_td_auc,val_td_auc_cases,val_td_auc_ctrls,val_iauc,val_ibs,val_horizon,val_event_of_interest
1,4.859373,5.373056,0.708927,0.747605,753,603,0.755526,0.199665,365.000000,1
2,4.714123,5.275813,0.741624,0.793892,753,603,0.797116,0.183780,365.000000,1
3,4.629216,5.212479,0.758894,0.816332,753,603,0.818555,0.173590,365.000000,1
4,4.588742,5.183470,0.767094,0.826337,753,603,0.828741,0.168726,365.000000,1
5,4.556210,5.172606,0.769551,0.829040,753,603,0.831431,0.167398,365.000000,1
6,4.541439,5.164934,0.771483,0.830018,753,603,0.833359,0.166297,365.000000,1
7,4.530888,5.156913,0.773087,0.831282,753,603,0.835910,0.165001,365.000000,1
8,4.509969,5.156753,0.772212,0.831655,753,603,0.835216,0.165080,365.000000,1
9,4.503602,5.160413,0.772825,0.831348,753,603,0.835205,0.165051,365.000000,1
10,4.482070,5.150532,0.774402,0.833729,753,603,0.837318,0.163674,365.000000,1
11,4.476279,5.146199,0.775346,0.834970,753,603,0.838432,0.163323,365.000000,1
12,4.472839,5.151469,0.774704,0.833465,753,603,0.837499,0.163729,365.000000,1
13,4.472078,5.152574,0.775012,0.834874,753,603,0.838251,0.163420,365.000000,1
14,4.458091,5.146095,0.776524,0.836679,753,603,0.840111,0.162316,365.000000,1
15,4.460667,5.152090,0.776466,0.836632,753,603,0.840064,0.162461,365.000000,1
16,4.435223,5.142834,0.778317,0.839024,753,603,0.842288,0.161203,365.000000,1
17,4.427630,5.146434,0.776780,0.837075,753,603,0.840428,0.162254,365.000000,1
18,4.425172,5.151028,0.775981,0.835294,753,603,0.839631,0.162823,365.000000,1
19,4.423831,5.143263,0.776142,0.835836,753,603,0.839740,0.162431,365.000000,1
20,4.411514,5.154894,0.774524,0.834137,753,603,0.837238,0.163709,365.000000,1
21,4.406670,5.160630,0.774747,0.835333,753,603,0.837941,0.163674,365.000000,1
22,4.384191,5.157219,0.774923,0.833718,753,603,0.838234,0.163567,365.000000,1
23,4.383383,5.162436,0.776482,0.834547,753,603,0.839181,0.163643,365.000000,1
24,4.379367,5.170343,0.771089,0.830751,753,603,0.834197,0.165210,365.000000,1
25,4.380041,5.173833,0.775087,0.833259,753,603,0.837540,0.164651,365.000000,1
26,4.382161,5.157269,0.775292,0.835790,753,603,0.838914,0.163197,365.000000,1
27,4.369397,5.169300,0.774302,0.833271,753,603,0.836771,0.164218,365.000000,1
28,4.353318,5.188296,0.774821,0.832984,753,603,0.837423,0.165489,365.000000,1
29,4.356406,5.179924,0.773423,0.833430,753,603,0.836378,0.164769,365.000000,1
30,4.355430,5.183794,0.775321,0.835529,753,603,0.837910,0.164995,365.000000,1
31,4.331789,5.179013,0.774460,0.833605,753,603,0.836977,0.164931,365.000000,1
32,4.328509,5.193866,0.772795,0.831460,753,603,0.834696,0.166550,365.000000,1
33,4.323397,5.184991,0.774238,0.833498,753,603,0.836672,0.165530,365.000000,1
34,4.330795,5.187828,0.774817,0.833603,753,603,0.837593,0.164712,365.000000,1
35,4.325074,5.186305,0.773529,0.831792,753,603,0.835956,0.165721,365.000000,1
36,4.326589,5.190556,0.773857,0.832509,753,603,0.837225,0.165080,365.000000,1
