epoch,train_loss,val_loss,val_c_index,val_td_auc,val_td_auc_cases,val_td_auc_ctrls,val_iauc,val_ibs,val_horizon,val_event_of_interest
1,4.857865,5.368500,0.717317,0.756671,753,603,0.767485,0.197180,365.000000,1
2,4.688822,5.241189,0.750522,0.804720,753,603,0.808222,0.178193,365.000000,1
3,4.603793,5.191850,0.763357,0.821682,753,603,0.823941,0.170093,365.000000,1
4,4.551227,5.175033,0.769188,0.827719,753,603,0.831380,0.167096,365.000000,1
5,4.520085,5.163706,0.769962,0.829593,753,603,0.832347,0.165788,365.000000,1
6,4.494655,5.147876,0.773353,0.833185,753,603,0.836328,0.163641,365.000000,1
7,4.483186,5.147240,0.774570,0.835257,753,603,0.838144,0.162635,365.000000,1
8,4.468619,5.152724,0.775902,0.835712,753,603,0.839388,0.162577,365.000000,1
9,4.450404,5.153400,0.775480,0.836063,753,603,0.838928,0.162310,365.000000,1
10,4.439722,5.148749,0.776031,0.836547,753,603,0.839357,0.161822,365.000000,1
11,4.432379,5.157640,0.775997,0.835028,753,603,0.838714,0.162677,365.000000,1
12,4.428450,5.151772,0.778194,0.837614,753,603,0.840938,0.161615,365.000000,1
13,4.398418,5.158163,0.777979,0.837924,753,603,0.840848,0.161930,365.000000,1
14,4.386674,5.154009,0.776255,0.836168,753,603,0.839121,0.162217,365.000000,1
15,4.384367,5.168318,0.777545,0.836324,753,603,0.840085,0.162684,365.000000,1
16,4.360616,5.171893,0.777051,0.836723,753,603,0.839856,0.162544,365.000000,1
17,4.366558,5.186820,0.776183,0.835412,753,603,0.838713,0.163385,365.000000,1
18,4.350716,5.174052,0.776249,0.834998,753,603,0.838865,0.163364,365.000000,1
19,4.339276,5.191985,0.775273,0.834443,753,603,0.838209,0.164885,365.000000,1
20,4.322450,5.206845,0.774800,0.833669,753,603,0.838058,0.165172,365.000000,1
21,4.328330,5.226138,0.773409,0.831732,753,603,0.835378,0.167171,365.000000,1
22,4.308703,5.210037,0.773560,0.832290,753,603,0.836452,0.166208,365.000000,1
23,4.287164,5.226024,0.775443,0.834962,753,603,0.838161,0.166641,365.000000,1
24,4.272891,5.235566,0.774163,0.833138,753,603,0.837113,0.167026,365.000000,1
25,4.290273,5.245509,0.773343,0.831702,753,603,0.835677,0.168776,365.000000,1
26,4.290574,5.221782,0.771917,0.831957,753,603,0.834847,0.166621,365.000000,1
27,4.264151,5.266294,0.773849,0.833102,753,603,0.837183,0.168856,365.000000,1
28,4.258072,5.260932,0.771019,0.828661,753,603,0.833822,0.169747,365.000000,1
29,4.243122,5.270348,0.772026,0.831094,753,603,0.835014,0.170306,365.000000,1
30,4.230683,5.316719,0.774819,0.834513,753,603,0.838082,0.172308,365.000000,1
31,4.241399,5.267204,0.772190,0.831214,753,603,0.834641,0.170082,365.000000,1
32,4.226273,5.274727,0.771457,0.828793,753,603,0.834167,0.170931,365.000000,1
