epoch,train_loss,val_loss,val_c_index,val_td_auc,val_td_auc_cases,val_td_auc_ctrls,val_iauc,val_ibs,val_horizon,val_event_of_interest
1,4.822533,5.272888,0.735861,0.782593,753,603,0.789320,0.186182,365.000000,1
2,4.658146,5.182424,0.764927,0.824464,753,603,0.827106,0.169305,365.000000,1
3,4.600590,5.161898,0.768586,0.828704,753,603,0.831506,0.166324,365.000000,1
4,4.575018,5.141826,0.776764,0.836769,753,603,0.840181,0.163179,365.000000,1
5,4.542564,5.134000,0.775520,0.835336,753,603,0.838040,0.162859,365.000000,1
6,4.539299,5.124318,0.778464,0.837129,753,603,0.841156,0.161663,365.000000,1
7,4.512247,5.117661,0.779745,0.839249,753,603,0.843005,0.160264,365.000000,1
8,4.507889,5.122510,0.777084,0.836578,753,603,0.839856,0.161414,365.000000,1
9,4.493749,5.120408,0.778566,0.838421,753,603,0.841820,0.160491,365.000000,1
10,4.487417,5.115677,0.779382,0.839044,753,603,0.841937,0.160163,365.000000,1
11,4.482353,5.114669,0.780035,0.839888,753,603,0.842809,0.160124,365.000000,1
12,4.464903,5.109214,0.780252,0.838967,753,603,0.843352,0.159866,365.000000,1
13,4.447417,5.121067,0.779071,0.838790,753,603,0.842023,0.160706,365.000000,1
14,4.452385,5.122069,0.779090,0.840110,753,603,0.842877,0.159955,365.000000,1
15,4.440279,5.128000,0.777178,0.835296,753,603,0.840066,0.161434,365.000000,1
16,4.421143,5.123342,0.777840,0.836781,753,603,0.841668,0.160715,365.000000,1
17,4.433715,5.128420,0.776621,0.836836,753,603,0.840687,0.161263,365.000000,1
18,4.403725,5.146084,0.777319,0.837238,753,603,0.841221,0.161685,365.000000,1
19,4.405475,5.136760,0.776260,0.835432,753,603,0.838900,0.162477,365.000000,1
20,4.395189,5.136132,0.777846,0.837660,753,603,0.841600,0.160833,365.000000,1
21,4.389325,5.153425,0.775877,0.835353,753,603,0.839084,0.162818,365.000000,1
22,4.386626,5.151677,0.774985,0.835478,753,603,0.838573,0.163066,365.000000,1
23,4.379505,5.148529,0.775674,0.834576,753,603,0.839201,0.162782,365.000000,1
24,4.374104,5.175716,0.775902,0.836261,753,603,0.839582,0.163484,365.000000,1
25,4.362723,5.149612,0.774436,0.833600,753,603,0.838016,0.163081,365.000000,1
26,4.364077,5.141654,0.774899,0.834833,753,603,0.838185,0.162585,365.000000,1
27,4.347496,5.164699,0.772848,0.832595,753,603,0.836394,0.164387,365.000000,1
28,4.329248,5.187450,0.772573,0.832093,753,603,0.836007,0.165608,365.000000,1
29,4.322794,5.160020,0.770467,0.829118,753,603,0.833732,0.164945,365.000000,1
30,4.322950,5.193055,0.772123,0.829601,753,603,0.834858,0.166858,365.000000,1
31,4.316481,5.174605,0.771645,0.830114,753,603,0.835208,0.165252,365.000000,1
32,4.309917,5.207525,0.771316,0.829380,753,603,0.834542,0.166815,365.000000,1
33,4.302447,5.228678,0.771629,0.830664,753,603,0.834257,0.168234,365.000000,1
34,4.286689,5.211273,0.771877,0.830402,753,603,0.834518,0.167381,365.000000,1
35,4.285252,5.224485,0.769927,0.828233,753,603,0.831970,0.168626,365.000000,1
36,4.285655,5.208651,0.771638,0.830210,753,603,0.834649,0.166811,365.000000,1
37,4.276276,5.223439,0.770814,0.829586,753,603,0.833884,0.167517,365.000000,1
38,4.252722,5.260679,0.768393,0.824742,753,603,0.830258,0.171677,365.000000,1
39,4.257251,5.238202,0.771007,0.828850,753,603,0.833633,0.169060,365.000000,1
40,4.251794,5.262519,0.770467,0.829168,753,603,0.833392,0.170800,365.000000,1
41,4.246177,5.288250,0.768795,0.826396,753,603,0.830981,0.171463,365.000000,1
42,4.227277,5.277817,0.770614,0.828679,753,603,0.832875,0.171232,365.000000,1
