epoch,train_loss,val_loss,val_c_index,val_td_auc,val_td_auc_cases,val_td_auc_ctrls,val_iauc,val_ibs,val_horizon,val_event_of_interest
1,5.347929,4.580832,0.478623,0.490333,479,2198,0.486701,0.257327,7.000000,1
2,5.186917,4.389855,0.478735,0.490457,479,2198,0.483479,0.244613,7.000000,1
3,4.964477,4.154866,0.479084,0.489375,479,2198,0.480951,0.222541,7.000000,1
4,4.758809,4.026317,0.479334,0.492248,479,2198,0.483733,0.210621,7.000000,1
5,4.673111,3.983238,0.479896,0.498932,479,2198,0.492269,0.209322,7.000000,1
6,4.631384,3.960391,0.480628,0.510421,479,2198,0.506403,0.207643,7.000000,1
7,4.602083,3.948896,0.481950,0.524512,479,2198,0.523041,0.207819,7.000000,1
8,4.584354,3.946719,0.483667,0.534729,479,2198,0.535613,0.207410,7.000000,1
9,4.567155,3.941657,0.485057,0.539961,479,2198,0.541951,0.206998,7.000000,1
10,4.558697,3.942214,0.486058,0.546298,479,2198,0.548365,0.207039,7.000000,1
11,4.539352,3.942063,0.487454,0.552856,479,2198,0.555401,0.207009,7.000000,1
12,4.534343,3.938943,0.488454,0.557278,479,2198,0.560497,0.207032,7.000000,1
13,4.519806,3.939376,0.489308,0.560363,479,2198,0.563865,0.207002,7.000000,1
14,4.511058,3.941293,0.490206,0.562640,479,2198,0.566506,0.206930,7.000000,1
15,4.501075,3.942682,0.491325,0.562801,479,2198,0.566786,0.206972,7.000000,1
16,4.491200,3.943117,0.492187,0.564339,479,2198,0.567686,0.206808,7.000000,1
17,4.481487,3.943075,0.493323,0.566338,479,2198,0.569980,0.206764,7.000000,1
18,4.473368,3.944168,0.494103,0.567729,479,2198,0.571344,0.206659,7.000000,1
19,4.468169,3.946059,0.495039,0.567629,479,2198,0.571021,0.206409,7.000000,1
20,4.450333,3.949612,0.496147,0.569476,479,2198,0.573593,0.206262,7.000000,1
21,4.446551,3.951833,0.497163,0.569651,479,2198,0.573527,0.206241,7.000000,1
22,4.439835,3.953561,0.498339,0.568326,479,2198,0.572517,0.206235,7.000000,1
23,4.425324,3.955402,0.499454,0.568262,479,2198,0.572032,0.206013,7.000000,1
24,4.421341,3.959179,0.500816,0.568090,479,2198,0.572211,0.205704,7.000000,1
25,4.411119,3.962878,0.503076,0.569905,479,2198,0.573686,0.205618,7.000000,1
26,4.399582,3.964968,0.505046,0.570522,479,2198,0.574324,0.205336,7.000000,1
27,4.390049,3.964479,0.506512,0.571075,479,2198,0.574964,0.205591,7.000000,1
