epoch,train_loss,val_loss,val_c_index,val_td_auc,val_td_auc_cases,val_td_auc_ctrls,val_iauc,val_ibs,val_horizon,val_event_of_interest
1,4.999440,3.952085,0.485265,0.521404,479,2198,0.517189,0.207831,7.000000,1
2,4.648862,3.916675,0.492828,0.546569,479,2198,0.545336,0.205970,7.000000,1
3,4.619868,3.906647,0.497362,0.565876,479,2198,0.566085,0.205642,7.000000,1
4,4.606300,3.902085,0.502396,0.576246,479,2198,0.577784,0.204879,7.000000,1
5,4.591484,3.894507,0.509201,0.585723,479,2198,0.586322,0.204292,7.000000,1
6,4.577052,3.890187,0.522728,0.594964,479,2198,0.594890,0.203011,7.000000,1
7,4.564680,3.880398,0.544029,0.607139,479,2198,0.608317,0.200825,7.000000,1
8,4.546276,3.868905,0.576400,0.628675,479,2198,0.630053,0.198184,7.000000,1
9,4.518545,3.846402,0.613996,0.658093,479,2198,0.658977,0.193654,7.000000,1
10,4.494272,3.817087,0.654109,0.695917,479,2198,0.697425,0.187600,7.000000,1
11,4.455461,3.790531,0.682483,0.729786,479,2198,0.731039,0.180885,7.000000,1
12,4.426644,3.760387,0.702524,0.760008,479,2198,0.760554,0.174831,7.000000,1
13,4.399180,3.743025,0.716716,0.781307,479,2198,0.780667,0.169869,7.000000,1
14,4.370802,3.730772,0.722307,0.784332,479,2198,0.784435,0.165837,7.000000,1
15,4.357588,3.719236,0.728899,0.789478,479,2198,0.790975,0.163546,7.000000,1
16,4.345964,3.715586,0.729205,0.796091,479,2198,0.795881,0.161068,7.000000,1
17,4.332990,3.717877,0.730826,0.802648,479,2198,0.803089,0.162459,7.000000,1
18,4.325228,3.715140,0.733597,0.798380,479,2198,0.799183,0.158621,7.000000,1
19,4.311252,3.708837,0.735437,0.801114,479,2198,0.801984,0.158977,7.000000,1
20,4.308964,3.707999,0.735893,0.799385,479,2198,0.800788,0.156424,7.000000,1
21,4.307870,3.705826,0.736660,0.801594,479,2198,0.802982,0.157245,7.000000,1
22,4.299737,3.705803,0.735940,0.800585,479,2198,0.802293,0.155984,7.000000,1
23,4.286691,3.704688,0.737112,0.804545,479,2198,0.805907,0.155488,7.000000,1
24,4.291800,3.704608,0.737106,0.803005,479,2198,0.805232,0.155687,7.000000,1
25,4.282052,3.705515,0.737469,0.806533,479,2198,0.808097,0.157005,7.000000,1
26,4.271434,3.708465,0.737483,0.801007,479,2198,0.803129,0.153927,7.000000,1
27,4.271698,3.705274,0.738160,0.801521,479,2198,0.803965,0.154494,7.000000,1
28,4.254332,3.706432,0.738879,0.803737,479,2198,0.805954,0.154570,7.000000,1
29,4.260641,3.702508,0.739260,0.806969,479,2198,0.808413,0.154902,7.000000,1
30,4.254896,3.707025,0.739815,0.806182,479,2198,0.807554,0.154892,7.000000,1
31,4.250964,3.705153,0.740087,0.806899,479,2198,0.808474,0.153484,7.000000,1
32,4.245678,3.705255,0.739714,0.805026,479,2198,0.806659,0.152630,7.000000,1
33,4.241864,3.706798,0.739598,0.804687,479,2198,0.806468,0.153018,7.000000,1
34,4.234364,3.705214,0.740026,0.806717,479,2198,0.807797,0.153209,7.000000,1
35,4.233236,3.706276,0.739959,0.807111,479,2198,0.808266,0.153117,7.000000,1
36,4.230077,3.706188,0.740449,0.806622,479,2198,0.808112,0.152580,7.000000,1
37,4.225667,3.705326,0.740217,0.805788,479,2198,0.807431,0.152102,7.000000,1
38,4.215175,3.708810,0.740640,0.806154,479,2198,0.807939,0.151538,7.000000,1
39,4.213767,3.709525,0.741097,0.804719,479,2198,0.807364,0.152208,7.000000,1
40,4.210141,3.707574,0.740551,0.805557,479,2198,0.807421,0.151582,7.000000,1
