epoch,train_loss,val_loss,val_c_index,val_td_auc,val_td_auc_cases,val_td_auc_ctrls,val_iauc,val_ibs,val_horizon,val_event_of_interest
1,5.347929,4.580832,0.478623,0.480873,437,2198,0.480001,0.257327,7.000000,2
2,5.186917,4.389855,0.478735,0.486005,437,2198,0.486798,0.244613,7.000000,2
3,4.964477,4.154866,0.479084,0.490931,437,2198,0.490902,0.222541,7.000000,2
4,4.758809,4.026317,0.479334,0.500446,437,2198,0.499114,0.210621,7.000000,2
5,4.673111,3.983238,0.479896,0.514409,437,2198,0.512863,0.209322,7.000000,2
6,4.631384,3.960391,0.480628,0.527157,437,2198,0.525086,0.207643,7.000000,2
7,4.602083,3.948896,0.481950,0.535165,437,2198,0.531872,0.207819,7.000000,2
8,4.584354,3.946719,0.483667,0.544368,437,2198,0.540825,0.207410,7.000000,2
9,4.567155,3.941657,0.485057,0.552129,437,2198,0.549653,0.206998,7.000000,2
10,4.558697,3.942214,0.486058,0.558817,437,2198,0.557586,0.207039,7.000000,2
11,4.539352,3.942063,0.487454,0.564256,437,2198,0.563213,0.207009,7.000000,2
12,4.534343,3.938943,0.488454,0.569805,437,2198,0.568481,0.207032,7.000000,2
13,4.519806,3.939376,0.489308,0.572632,437,2198,0.570975,0.207002,7.000000,2
14,4.511058,3.941293,0.490206,0.573769,437,2198,0.572281,0.206930,7.000000,2
15,4.501075,3.942682,0.491325,0.574038,437,2198,0.572697,0.206972,7.000000,2
16,4.491200,3.943117,0.492187,0.576709,437,2198,0.575525,0.206808,7.000000,2
17,4.481487,3.943075,0.493323,0.576933,437,2198,0.574991,0.206764,7.000000,2
18,4.473368,3.944168,0.494103,0.577566,437,2198,0.574793,0.206659,7.000000,2
19,4.468169,3.946059,0.495039,0.579125,437,2198,0.575778,0.206409,7.000000,2
20,4.450333,3.949612,0.496147,0.579646,437,2198,0.575962,0.206262,7.000000,2
21,4.446551,3.951833,0.497163,0.583340,437,2198,0.579639,0.206241,7.000000,2
22,4.439835,3.953561,0.498339,0.585424,437,2198,0.581694,0.206235,7.000000,2
23,4.425324,3.955402,0.499454,0.587879,437,2198,0.583708,0.206013,7.000000,2
24,4.421341,3.959179,0.500816,0.589829,437,2198,0.585083,0.205704,7.000000,2
25,4.411119,3.962878,0.503076,0.589527,437,2198,0.585212,0.205618,7.000000,2
26,4.399582,3.964968,0.505046,0.589871,437,2198,0.586133,0.205336,7.000000,2
27,4.390049,3.964479,0.506512,0.591769,437,2198,0.587305,0.205591,7.000000,2
28,4.379852,3.968966,0.507843,0.592097,437,2198,0.587132,0.205102,7.000000,2
29,4.373972,3.973434,0.509654,0.593127,437,2198,0.587681,0.205030,7.000000,2
30,4.362897,3.974435,0.512534,0.593327,437,2198,0.588567,0.204935,7.000000,2
31,4.349916,3.979497,0.515116,0.592965,437,2198,0.588447,0.204919,7.000000,2
32,4.339423,3.982348,0.518607,0.595122,437,2198,0.589467,0.204420,7.000000,2
33,4.337293,3.984691,0.521072,0.598723,437,2198,0.593042,0.204131,7.000000,2
