epoch,train_loss,val_loss,val_c_index,val_td_auc,val_td_auc_cases,val_td_auc_ctrls,val_iauc,val_ibs,val_horizon,val_event_of_interest
1,5.344963,4.549390,0.483091,0.490601,437,2198,0.482151,0.256586,7.000000,2
2,5.168222,4.339820,0.481478,0.478621,437,2198,0.474500,0.243048,7.000000,2
3,4.939817,4.089414,0.482245,0.477474,437,2198,0.474282,0.219011,7.000000,2
4,4.746739,3.982433,0.482999,0.484858,437,2198,0.480622,0.208149,7.000000,2
5,4.683003,3.953026,0.484267,0.507950,437,2198,0.500483,0.207654,7.000000,2
6,4.643548,3.937722,0.486139,0.529644,437,2198,0.520215,0.206709,7.000000,2
7,4.624278,3.930276,0.487821,0.542924,437,2198,0.533603,0.206694,7.000000,2
8,4.596954,3.927492,0.489626,0.555841,437,2198,0.546810,0.206471,7.000000,2
9,4.589116,3.926539,0.491045,0.568429,437,2198,0.558759,0.206367,7.000000,2
10,4.576039,3.927555,0.491694,0.575836,437,2198,0.566347,0.206179,7.000000,2
11,4.566078,3.926592,0.492077,0.581543,437,2198,0.572280,0.206093,7.000000,2
12,4.545735,3.928116,0.492391,0.586990,437,2198,0.577356,0.205938,7.000000,2
13,4.538900,3.931843,0.492760,0.590401,437,2198,0.581323,0.206079,7.000000,2
14,4.531614,3.935070,0.493139,0.594809,437,2198,0.585959,0.206097,7.000000,2
15,4.519744,3.935242,0.493585,0.598251,437,2198,0.589565,0.206333,7.000000,2
16,4.511781,3.938669,0.494748,0.597786,437,2198,0.589086,0.205995,7.000000,2
17,4.496434,3.940886,0.495526,0.599684,437,2198,0.590937,0.205937,7.000000,2
18,4.486449,3.943369,0.496870,0.601918,437,2198,0.593405,0.205854,7.000000,2
19,4.472414,3.943588,0.498185,0.604270,437,2198,0.596004,0.205827,7.000000,2
20,4.469796,3.946226,0.499571,0.605853,437,2198,0.597810,0.205383,7.000000,2
21,4.464453,3.946624,0.501138,0.606637,437,2198,0.598039,0.205287,7.000000,2
22,4.451514,3.947516,0.503620,0.608045,437,2198,0.599332,0.205080,7.000000,2
23,4.443493,3.948412,0.506323,0.608450,437,2198,0.600459,0.204671,7.000000,2
24,4.429816,3.952406,0.508473,0.611487,437,2198,0.602969,0.204285,7.000000,2
25,4.424204,3.953994,0.510625,0.614922,437,2198,0.605893,0.204234,7.000000,2
26,4.420387,3.954831,0.514025,0.617434,437,2198,0.608233,0.204180,7.000000,2
