epoch,train_loss,val_loss,val_c_index,val_td_auc,val_td_auc_cases,val_td_auc_ctrls,val_iauc,val_ibs,val_horizon,val_event_of_interest
1,5.028371,3.978313,0.479343,0.510829,437,2198,0.510412,0.210193,7.000000,2
2,4.654884,3.929482,0.483227,0.557818,437,2198,0.555316,0.207477,7.000000,2
3,4.619929,3.919041,0.487497,0.571330,437,2198,0.571470,0.206633,7.000000,2
4,4.610693,3.914630,0.491523,0.578976,437,2198,0.579933,0.205959,7.000000,2
5,4.595383,3.910577,0.494320,0.587210,437,2198,0.586260,0.205464,7.000000,2
6,4.581576,3.907865,0.501478,0.588352,437,2198,0.590075,0.204604,7.000000,2
7,4.576350,3.901623,0.513547,0.597729,437,2198,0.599064,0.203510,7.000000,2
8,4.562926,3.890019,0.537627,0.615696,437,2198,0.617552,0.201469,7.000000,2
9,4.545841,3.871291,0.573048,0.638926,437,2198,0.640565,0.198383,7.000000,2
10,4.514902,3.847425,0.619750,0.673091,437,2198,0.672589,0.193670,7.000000,2
11,4.483679,3.817047,0.664504,0.714568,437,2198,0.711447,0.187375,7.000000,2
12,4.443207,3.783129,0.691699,0.740233,437,2198,0.736346,0.178626,7.000000,2
13,4.405414,3.759588,0.709472,0.761293,437,2198,0.756554,0.173022,7.000000,2
14,4.377113,3.738195,0.718838,0.773378,437,2198,0.767537,0.167885,7.000000,2
15,4.345808,3.725157,0.725901,0.781542,437,2198,0.774300,0.162675,7.000000,2
16,4.327393,3.718060,0.726360,0.783904,437,2198,0.776034,0.160013,7.000000,2
17,4.314369,3.710593,0.731167,0.789462,437,2198,0.781809,0.158886,7.000000,2
18,4.302043,3.706830,0.733570,0.788020,437,2198,0.781236,0.156340,7.000000,2
19,4.300755,3.703751,0.733206,0.788985,437,2198,0.782341,0.156794,7.000000,2
20,4.296332,3.701458,0.736533,0.790827,437,2198,0.783226,0.155000,7.000000,2
21,4.276194,3.704466,0.736028,0.791941,437,2198,0.785446,0.155111,7.000000,2
22,4.266735,3.699937,0.737645,0.793555,437,2198,0.786471,0.154318,7.000000,2
23,4.271612,3.702888,0.736825,0.793384,437,2198,0.786186,0.153297,7.000000,2
24,4.262664,3.699718,0.736543,0.794142,437,2198,0.787124,0.153008,7.000000,2
